uni,date,cost
app,Aug 2008,4274.00
app,Aug 2009,4424.00
app,Aug 2010,5173.74
app,Aug 2011,5455.74
app,Aug 2012,5962.00
app,Aug 2013,6356.00
app,Aug 2014,6438.00
app,Aug 2015,6719.00
fsu,Aug 2004,2520.00
fsu,Aug 2005,2520.00
fsu,Aug 2006,2842.00
fsu,Aug 2007,3020.00
fsu,Aug 2008,3020.00
fsu,Aug 2009,3152.00
fsu,Aug 2010,3451.00
fsu,Aug 2011,4084.00
fsu,Aug 2012,4393.76
fsu,Aug 2013,4579.76
fsu,Aug 2014,4629.76
fsu,Aug 2015,4859.76
nccu,Aug 2004,3041.00
nccu,Aug 2005,3095.00
nccu,Aug 2006,3395.00
nccu,Aug 2007,3605.00
nccu,Aug 2008,3689.89
nccu,Aug 2009,3861.21
nccu,Aug 2010,4479.42
nccu,Aug 2011,4719.92
nccu,Aug 2012,5119.03
nccu,Aug 2013,5444.09
nccu,Aug 2014,5444.09
nccu,Aug 2015,5674.09
uncp,Aug 2004,2824.00
uncp,Aug 2005,2839.00
uncp,Aug 2006,3221.00
uncp,Aug 2007,3396.00
uncp,Aug 2008,3497.00
uncp,Aug 2009,3655.00
uncp,Aug 2010,4059.00
uncp,Aug 2011,4587.00
uncp,Aug 2012,4776.00
uncp,Aug 2013,5063.00
uncp,Aug 2014,5206.00
uncp,Aug 2015,5483.40
uncw,Aug 2004,3574.50
uncw,Aug 2005,3638.75
uncw,Aug 2006,4080.75
uncw,Aug 2007,4312.40
uncw,Aug 2008,4441.15
uncw,Aug 2009,4872.80
uncw,Aug 2010,5321.90
uncw,Aug 2011,5594.55
uncw,Aug 2012,6121.70
uncw,Aug 2013,6266.10
uncw,Aug 2014,6314.70
uncw,Aug 2015,6599.66
wcu,Aug 2004,3201.50
wcu,Aug 2005,3311.00
wcu,Aug 2006,3623.00
wcu,Aug 2007,3950.00
wcu,Aug 2008,4085.50
wcu,Aug 2009,4214.00
wcu,Aug 2010,5000.80
wcu,Aug 2011,5250.00
wcu,Aug 2012,5772.00
wcu,Aug 2013,6096.00
wcu,Aug 2014,6156.00
wcu,Aug 2015,6474.00
wssu,Aug 2004,2654.00
wssu,Aug 2005,2779.00
wssu,Aug 2006,3108.00
wssu,Aug 2007,3274.00
wssu,Aug 2008,3338.00
wssu,Aug 2009,3471.16
wssu,Aug 2010,4017.16
wssu,Aug 2011,4513.16
wssu,Aug 2012,4850.16
wssu,Aug 2013,5377.16
wssu,Aug 2014,5623.16
wssu,Aug 2015,5616.16
unca,Aug 2004,3321.50
unca,Aug 2005,3454.50
unca,Aug 2006,3810.50
unca,Aug 2007,4043.85
unca,Aug 2008,4174.35
unca,Aug 2009,4328.85
unca,Aug 2010,4677.50
unca,Aug 2011,5283.50
unca,Aug 2012,5806.50
unca,Aug 2013,6121.00
unca,Aug 2014,6272.00
